,adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
60,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-02-09,2003-02-15,2003,88,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
61,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-02-16,2003-02-22,2003,88,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
62,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-02-23,2003-03-01,2003,99,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
63,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-03-02,2003-03-08,2003,60,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
64,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-03-09,2003-03-15,2003,92,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
65,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-03-16,2003-03-22,2003,85,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
66,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-03-23,2003-03-29,2003,64,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
67,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-03-30,2003-04-05,2003,97,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
68,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-04-06,2003-04-12,2003,63,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
69,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-04-13,2003-04-19,2003,53,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
70,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-04-20,2003-04-26,2003,75,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
71,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-04-27,2003-05-03,2003,36,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
72,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-05-04,2003-05-10,2003,80,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
73,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-05-11,2003-05-17,2003,95,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
74,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-05-18,2003-05-24,2003,125,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
75,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-05-25,2003-05-31,2003,188,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
76,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-01,2003-06-07,2003,256,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
77,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-08,2003-06-14,2003,163,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
78,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-15,2003-06-21,2003,163,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
79,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-22,2003-06-28,2003,130,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
